rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Continent-specific,3c,30,5,0.666476745947794,0.6684106813159936,-0.0019339353681995242,2,True
RQ1,Continent-specific,3c,30,6,0.6765925672093973,0.6920170058258164,-0.015424438616419067,2,True
RQ1,Continent-specific,3c,30,7,0.6692160998041501,0.6618712941024661,0.007344805701683943,2,True
RQ1,Continent-specific,3c,30,8,0.6821704921062768,0.6621560118903234,0.020014480215953423,2,True
RQ1,Continent-specific,3c,30,9,0.7034687645685782,0.7074383421821555,-0.003969577613577302,2,True
RQ1,Continent-specific,3c,40,0,0.7068437457478481,0.6976273100224344,0.009216435725413752,2,True
RQ1,Continent-specific,3c,40,1,0.7373372582997039,0.7440228053895082,-0.006685547089804289,2,True
RQ1,Continent-specific,3c,40,2,0.7028188157357915,0.7307047328662226,-0.027885917130431093,2,True
RQ1,Continent-specific,3c,40,3,0.7065256151441508,0.7028106566533394,0.003714958490811382,2,True
RQ1,Continent-specific,3c,40,4,0.6763048138201209,0.724025010526858,-0.047720196706737106,2,True
RQ1,Continent-specific,3c,40,5,0.6864454061904873,0.6860808767364932,0.0003645294539941224,2,True
RQ1,Continent-specific,3c,40,6,0.703105845919402,0.7071773830546058,-0.0040715371352038066,2,True
RQ1,Continent-specific,3c,40,7,0.6820096557101618,0.6776956501085116,0.004314005601650184,2,True
RQ1,Continent-specific,3c,40,8,0.6950006305189361,0.6871201777343106,0.007880452784625569,2,True
RQ1,Continent-specific,3c,40,9,0.7054518688518971,0.7286702428719548,-0.023218374020057664,2,True
RQ1,Continent-specific,3c,50,0,0.7179479517939774,0.7168107060998312,0.001137245694146194,2,True
RQ1,Continent-specific,3c,50,1,0.7510209446479854,0.7600039415443258,-0.008982996896340412,2,True
RQ1,Continent-specific,3c,50,2,0.731194074962188,0.7519728801075709,-0.020778805145382884,2,True
RQ1,Continent-specific,3c,50,3,0.7235827848314695,0.7246232764655105,-0.0010404916340409631,2,True
RQ1,Continent-specific,3c,50,4,0.7220493198853242,0.7449324433290399,-0.02288312344371568,2,True
RQ1,Continent-specific,3c,50,5,0.7078669417990966,0.7039206141510161,0.00394632764808045,2,True
RQ1,Continent-specific,3c,50,6,0.7243482238891146,0.7179096806788507,0.006438543210263825,2,True
RQ1,Continent-specific,3c,50,7,0.7007733415934576,0.6956506800369892,0.005122661556468455,2,True
RQ1,Continent-specific,3c,50,8,0.7220253821118057,0.7064958266923171,0.015529555419488528,2,True
RQ1,Continent-specific,3c,50,9,0.7173410214112219,0.7390207413194739,-0.021679719908252015,2,True
RQ1,Country-Agnostic I,2c,10,0,0.6096186662009561,0.5994222762214746,0.010196389979481468,56,True
RQ1,Country-Agnostic I,2c,10,1,0.6323402504127742,0.581285198102242,0.0510550523105322,55,True
RQ1,Country-Agnostic I,2c,10,2,0.6204316995103422,0.5868163976008578,0.03361530190948436,56,True
RQ1,Country-Agnostic I,2c,10,3,0.6257257882519884,0.6153096528046669,0.010416135447321562,56,True
RQ1,Country-Agnostic I,2c,10,4,0.6344008520622453,0.5918219459792462,0.04257890608299908,56,True
RQ1,Country-Agnostic I,2c,10,5,0.631444584342801,0.6157211230849198,0.015723461257881266,55,True
RQ1,Country-Agnostic I,2c,10,6,0.589034607197109,0.5848402663221969,0.004194340874912106,56,True
RQ1,Country-Agnostic I,2c,10,7,0.5921559706718589,0.5766433458749897,0.015512624796869212,55,True
RQ1,Country-Agnostic I,2c,10,8,0.6332718214635386,0.612719971467758,0.020551849995780525,56,True
RQ1,Country-Agnostic I,2c,10,9,0.6637532795266784,0.6416000542249929,0.02215322530168551,56,True
RQ1,Country-Agnostic I,2c,20,0,0.6719999234851886,0.6671117289041609,0.004888194581027627,56,True
RQ1,Country-Agnostic I,2c,20,1,0.6737942224157928,0.6311880214349127,0.04260620098088008,55,True
RQ1,Country-Agnostic I,2c,20,2,0.6590533484142743,0.6351461388348986,0.023907209579375754,56,True
RQ1,Country-Agnostic I,2c,20,3,0.6716208884192488,0.6468613001578604,0.024759588261388465,56,True
RQ1,Country-Agnostic I,2c,20,4,0.6622232954010686,0.6187538857002899,0.04346940970077873,56,True
RQ1,Country-Agnostic I,2c,20,5,0.6737116515158806,0.6426335394226189,0.031078112093261723,55,True
RQ1,Country-Agnostic I,2c,20,6,0.6204700482927671,0.6253696785699164,-0.004899630277149347,56,True
RQ1,Country-Agnostic I,2c,20,7,0.6466546603257362,0.6435806711440706,0.0030739891816655707,55,True
RQ1,Country-Agnostic I,2c,20,8,0.6805595817872796,0.6533377679993596,0.02722181378791999,56,True
RQ1,Country-Agnostic I,2c,20,9,0.7068587830713844,0.6764290998383642,0.0304296832330202,56,True
RQ1,Country-Agnostic I,2c,30,0,0.6958401562257264,0.683808932373202,0.01203122385252442,56,True
RQ1,Country-Agnostic I,2c,30,1,0.7331357856596569,0.6662359931526161,0.06689979250704081,55,True
RQ1,Country-Agnostic I,2c,30,2,0.690343777217708,0.6599716109565434,0.030372166261164568,56,True
RQ1,Country-Agnostic I,2c,30,3,0.7004490220713482,0.6873669311725891,0.013082090898759113,56,True
RQ1,Country-Agnostic I,2c,30,4,0.6877326090183894,0.6419721866579166,0.04576042236047284,56,True
RQ1,Country-Agnostic I,2c,30,5,0.6968998009056518,0.6709043020418416,0.02599549886381025,55,True
RQ1,Country-Agnostic I,2c,30,6,0.6514615079146803,0.6408644440021408,0.01059706391253945,56,True
RQ1,Country-Agnostic I,2c,30,7,0.6704730279922098,0.6743700518959496,-0.0038970239037398047,55,True
RQ1,Country-Agnostic I,2c,30,8,0.7062424090196223,0.6767670600967228,0.02947534892289949,56,True
RQ1,Country-Agnostic I,2c,30,9,0.7358776741385411,0.6907687002525036,0.04510897388603752,56,True
RQ1,Country-Agnostic I,2c,40,0,0.704728576423297,0.6975200112626886,0.007208565160608416,56,True
RQ1,Country-Agnostic I,2c,40,1,0.7410284629408924,0.6625334923853807,0.07849497055551169,55,True
RQ1,Country-Agnostic I,2c,40,2,0.7009780788469663,0.6720487950679777,0.028929283778988624,56,True
RQ1,Country-Agnostic I,2c,40,3,0.7181312524995943,0.6985658817946964,0.019565370704897944,56,True
RQ1,Country-Agnostic I,2c,40,4,0.7075962579144027,0.6619954417988224,0.04560081611558031,56,True
RQ1,Country-Agnostic I,2c,40,5,0.7232416246926233,0.6767088888210523,0.04653273587157103,55,True
RQ1,Country-Agnostic I,2c,40,6,0.6668363361589887,0.6740811364261824,-0.007244800267193652,56,True
RQ1,Country-Agnostic I,2c,40,7,0.693700291321672,0.6912012667003664,0.002499024621305579,55,True
RQ1,Country-Agnostic I,2c,40,8,0.7191178255885478,0.6850087912959831,0.03410903429256462,56,True
RQ1,Country-Agnostic I,2c,40,9,0.7431639115039158,0.7103509305448368,0.03281298095907903,56,True
RQ1,Country-Agnostic I,2c,50,0,0.7233575287139986,0.7186031270389145,0.004754401675084119,56,True
RQ1,Country-Agnostic I,2c,50,1,0.7612512536426347,0.6934820072534293,0.06776924638920534,55,True
RQ1,Country-Agnostic I,2c,50,2,0.7295528424204153,0.6880425242437774,0.04151031817663786,56,True
RQ1,Country-Agnostic I,2c,50,3,0.7295203220837997,0.7102734862389101,0.01924683584488962,56,True
RQ1,Country-Agnostic I,2c,50,4,0.7267892002168145,0.6812465944492175,0.045542605767596944,56,True
RQ1,Country-Agnostic I,2c,50,5,0.7335109313239463,0.6856597449028141,0.047851186421132175,55,True
RQ1,Country-Agnostic I,2c,50,6,0.6839720566574303,0.6708668737081057,0.013105182949324612,56,True
RQ1,Country-Agnostic I,2c,50,7,0.7120559002261222,0.7067547028860895,0.005301197340032648,55,True
RQ1,Country-Agnostic I,2c,50,8,0.7323756355462574,0.719380057842424,0.012995577703833416,56,True
