train,test,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Mongolia,Mexico,2c,10,0.6898000898640773,0.0317293505763718,0.7277688757460997,0.0275177864276649,-0.03796878588202246,HM(RF)
Mongolia,Mexico,2c,20,0.7030959981416883,0.0358826583789619,0.723144603259605,0.0247829830075868,-0.020048605117916618,HM(RF)
Mongolia,Mexico,2c,30,0.7820310845062284,0.0203345711959473,0.7746551507926752,0.023263355288693,0.007375933713553162,TabPFN-v3
Mongolia,Mexico,2c,40,0.8088127778774343,0.0217671471307155,0.7955459261625866,0.0163466617915166,0.01326685171484776,TabPFN-v3
Mongolia,Mexico,2c,50,0.8180571496723763,0.017911298143375,0.8197348659040593,0.0171092585524191,-0.0016777162316830019,HM(RF)
Mongolia,Italy,2c,10,0.6563346041891498,0.0118407665051204,0.6397149616790044,0.0090758847570118,0.01661964251014536,TabPFN-v3
Mongolia,Italy,2c,20,0.6826666551019713,0.0116927666329922,0.6632203838185176,0.0099324160511036,0.019446271283453775,TabPFN-v3
Mongolia,Italy,2c,30,0.7131496296175788,0.008627112376803,0.6878246897398135,0.0102153676629315,0.025324939877765296,TabPFN-v3
Mongolia,Italy,2c,40,0.7204107583170167,0.0091550879373673,0.6974630773410537,0.0089833619144165,0.022947680975963003,TabPFN-v3
Mongolia,Italy,2c,50,0.7414769435630255,0.0079731576519538,0.707701040406244,0.0101879208938669,0.03377590315678147,TabPFN-v3
India,Paraguay,3c,10,0.6831714545580196,0.0166221426501281,0.6516173566784242,0.0199954667953444,0.0315540978795954,TabPFN-v3
India,Paraguay,3c,20,0.7370415156969135,0.0137169051256562,0.7158174489712449,0.0193398797746397,0.021224066725668567,TabPFN-v3
India,Paraguay,3c,30,0.7594625919040012,0.0105430374487676,0.7127025309969726,0.0206111012737305,0.04676006090702867,TabPFN-v3
India,Paraguay,3c,40,0.7810018482488686,0.0130279927352464,0.7455861764494724,0.0210424858664814,0.0354156717993962,TabPFN-v3
India,Paraguay,3c,50,0.8025625222968976,0.0151529875729251,0.7673755903155015,0.017519439916213,0.03518693198139611,TabPFN-v3
India,Denmark,3c,10,0.5910057538057035,0.0365808839660455,0.6323195697649358,0.0265930106301568,-0.041313815959232225,HM(RF)
India,Denmark,3c,20,0.6125639061639164,0.0413837362635846,0.636143092403599,0.0196663135802804,-0.02357918623968258,HM(RF)
India,Denmark,3c,30,0.6588309793942545,0.0344821816772236,0.6459820724051486,0.0226599535593899,0.012848906989105902,TabPFN-v3
India,Denmark,3c,40,0.6630498529335013,0.036584911850186,0.6519371870368509,0.0233271060930107,0.011112665896650387,TabPFN-v3
India,Denmark,3c,50,0.6935385615351801,0.0333290824919082,0.6882516811138532,0.0192221473678886,0.005286880421326967,TabPFN-v3
India,China,3c,10,0.7120252488955037,0.0297208037158263,0.6983386934443169,0.0242049376864328,0.0136865554511868,TabPFN-v3
India,China,3c,20,0.7592214699123905,0.0276005071522985,0.7381772248283504,0.0239654331967244,0.021044245084040125,TabPFN-v3
India,China,3c,30,0.7805016216194043,0.0275826101474077,0.7619304777164794,0.0254442354826204,0.018571143902924914,TabPFN-v3
