country,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
UK,3c,50,0.77844484546091,0.0182967299606989,0.739050707516627,0.0200191782104766,0.039394137944282925,TabPFN-v3
Mexico,3c,10,0.7040247937281406,0.0301214902432073,0.6617674394326357,0.0356444032330558,0.04225735429550492,TabPFN-v3
Mexico,3c,20,0.7411904122942619,0.0352446633117367,0.7053178255568263,0.0410690329886728,0.03587258673743554,TabPFN-v3
Mexico,3c,30,0.764719742662199,0.034909148458944,0.7274278687485961,0.039748521570471,0.03729187391360289,TabPFN-v3
Mexico,3c,40,0.7873175285801239,0.0371719518049894,0.7492785911002665,0.0405351294338548,0.038038937479857426,TabPFN-v3
Mexico,3c,50,0.8007717574040333,0.0367537520400595,0.7475555409228014,0.0444418980606212,0.05321621648123187,TabPFN-v3
Italy,3c,10,0.625418605862468,0.0050030539320486,0.608060692471031,0.0070143560636384,0.017357913391436997,TabPFN-v3
Italy,3c,20,0.6742784844850769,0.006615962267186,0.6590022030188795,0.0078105758416323,0.015276281466197417,TabPFN-v3
Italy,3c,30,0.7035935943745673,0.0064406486462821,0.6873953132601118,0.0077004387347335,0.016198281114455426,TabPFN-v3
Italy,3c,40,0.7246438632446933,0.0063649144270302,0.7089055020353242,0.0072307056281569,0.01573836120936911,TabPFN-v3
Italy,3c,50,0.7355116773056762,0.0074966263641142,0.7242966681517495,0.0072446836687998,0.011215009153926703,TabPFN-v3
Mongolia,3c,10,0.6195100017609158,0.0125842931268241,0.5918756939782958,0.0110760264138034,0.027634307782619993,TabPFN-v3
Mongolia,3c,20,0.6790092377373801,0.0136452703485058,0.6468520968568751,0.0134329122191878,0.03215714088050503,TabPFN-v3
Mongolia,3c,30,0.6945472015678573,0.0114099048927968,0.6739914762967192,0.0144236314546141,0.020555725271138137,TabPFN-v3
Mongolia,3c,40,0.7204352192479798,0.0131519942736676,0.6956752139238763,0.0157872114065304,0.024760005324103496,TabPFN-v3
Mongolia,3c,50,0.7410933127230087,0.019054566673124,0.7131571699794738,0.0158875926353954,0.027936142743534953,TabPFN-v3
